IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
17,10.215.173.1,43634,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Cerrado,www.gstatic.com,61,89,1,1,2026-09-03T01:49:29.274-06:00,2026-09-03T01:49:29.335-06:00
17,10.215.173.1,22767,10.215.173.2,53,10161,Gboard,com.google.android.inputmethod.latin,DNS,Cerrado,www.gstatic.com,61,77,1,1,2026-09-03T01:49:29.278-06:00,2026-09-03T01:49:29.335-06:00
17,10.215.173.1,41952,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,QUIC,Cerrado,www.gstatic.com,0,0,0,0,2026-09-03T01:49:29.342-06:00,2026-09-03T01:49:33.343-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44848,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.344-06:00,2026-09-03T01:49:29.346-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44862,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.350-06:00,2026-09-03T01:49:29.351-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44866,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.353-06:00,2026-09-03T01:49:29.355-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44874,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.357-06:00,2026-09-03T01:49:29.358-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44886,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.359-06:00,2026-09-03T01:49:29.362-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44896,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.364-06:00,2026-09-03T01:49:29.366-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44848,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.368-06:00,2026-09-03T01:49:29.370-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44866,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.372-06:00,2026-09-03T01:49:29.373-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44862,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.375-06:00,2026-09-03T01:49:29.377-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44874,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.378-06:00,2026-09-03T01:49:29.379-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44886,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.381-06:00,2026-09-03T01:49:29.383-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44896,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.385-06:00,2026-09-03T01:49:29.387-06:00
6,10.215.173.1,33810,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2197,4337,8,7,2026-09-03T01:49:29.652-06:00,2026-09-03T01:49:29.809-06:00
6,10.215.173.1,33826,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2061,4297,7,6,2026-09-03T01:49:29.655-06:00,2026-09-03T01:49:29.809-06:00
6,10.215.173.1,33842,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2157,4296,7,6,2026-09-03T01:49:29.658-06:00,2026-09-03T01:49:29.810-06:00
6,10.215.173.1,33852,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2101,4337,8,7,2026-09-03T01:49:29.662-06:00,2026-09-03T01:49:29.810-06:00
6,10.215.173.1,33854,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2101,4336,8,7,2026-09-03T01:49:29.665-06:00,2026-09-03T01:49:30.012-06:00
6,10.215.173.1,33866,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2101,4336,8,7,2026-09-03T01:49:29.669-06:00,2026-09-03T01:49:29.810-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44908,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.766-06:00,2026-09-03T01:49:29.768-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44922,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.770-06:00,2026-09-03T01:49:29.772-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44934,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.774-06:00,2026-09-03T01:49:29.777-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44942,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.779-06:00,2026-09-03T01:49:29.781-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44944,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.783-06:00,2026-09-03T01:49:29.785-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44960,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.788-06:00,2026-09-03T01:49:29.789-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44908,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.791-06:00,2026-09-03T01:49:29.793-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44922,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.794-06:00,2026-09-03T01:49:29.796-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44934,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.797-06:00,2026-09-03T01:49:29.799-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44942,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.800-06:00,2026-09-03T01:49:29.802-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44944,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.804-06:00,2026-09-03T01:49:29.805-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44960,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:29.807-06:00,2026-09-03T01:49:29.808-06:00
6,10.215.173.1,33868,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2157,4295,7,6,2026-09-03T01:49:30.067-06:00,2026-09-03T01:49:30.188-06:00
6,10.215.173.1,33876,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2061,4297,7,6,2026-09-03T01:49:30.072-06:00,2026-09-03T01:49:30.188-06:00
6,10.215.173.1,33882,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2061,4296,7,6,2026-09-03T01:49:30.076-06:00,2026-09-03T01:49:30.188-06:00
6,10.215.173.1,33896,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Cerrado,www.gstatic.com,2125,4296,7,6,2026-09-03T01:49:30.080-06:00,2026-09-03T01:49:30.188-06:00
6,10.215.173.1,33912,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Error,www.gstatic.com,2125,4257,7,5,2026-09-03T01:49:30.085-06:00,2026-09-03T01:49:30.189-06:00
6,10.215.173.1,33916,142.250.189.3,443,10161,Gboard,com.google.android.inputmethod.latin,HTTPS,Error,www.gstatic.com,2061,4256,7,5,2026-09-03T01:49:30.088-06:00,2026-09-03T01:49:30.203-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44974,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:30.152-06:00,2026-09-03T01:49:30.154-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44982,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:30.157-06:00,2026-09-03T01:49:30.159-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44974,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:30.166-06:00,2026-09-03T01:49:30.167-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44992,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:30.169-06:00,2026-09-03T01:49:30.171-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,44982,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:30.174-06:00,2026-09-03T01:49:30.176-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,45008,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:30.178-06:00,2026-09-03T01:49:30.180-06:00
6,fd00:2:fd00:1:fd00:1:fd00:1,45014,2607:f8b0:4012:809::2003,443,10161,Gboard,com.google.android.inputmethod.latin,TLS,Inalcanzable,www.gstatic.com,80,60,1,1,2026-09-03T01:49:30.182-06:00,2026-09-03T01:49:30.184-06:00
